family,instance,ppd_orig,ppd_clean_mean,n_reps,shuffle_cv
flat30-60,flat30-1.cnf,4.4444,3.5000,12,0.0000
flat30-60,flat30-10.cnf,2.6667,3.3704,12,0.0000
flat30-60,flat30-100.cnf,4.3,3.6400,12,0.0000
flat30-60,flat30-11.cnf,3.3077,3.2500,12,0.0000
flat30-60,flat30-12.cnf,4.4,3.1379,12,0.0000
flat30-60,flat30-13.cnf,7.4444,3.7917,12,0.0000
flat30-60,flat30-14.cnf,2.7333,3.3704,12,0.0000
flat30-60,flat30-15.cnf,2.8667,3.2500,12,0.0000
flat30-60,flat30-16.cnf,4.0,3.6400,12,0.0000
flat30-60,flat30-17.cnf,6.4545,3.2500,12,0.0000
flat30-60,flat30-18.cnf,9.4667,3.2500,12,0.0000
flat30-60,flat30-19.cnf,6.8571,3.6400,12,0.0000
flat30-60,flat30-2.cnf,4.4167,3.2500,12,0.0000
flat30-60,flat30-20.cnf,4.7692,3.2500,12,0.0000
flat30-60,flat30-21.cnf,4.7,3.5000,12,0.0000
flat30-60,flat30-22.cnf,5.2,3.6400,12,0.0000
flat30-60,flat30-23.cnf,6.3,3.2500,12,0.0000
flat30-60,flat30-24.cnf,5.8333,3.7917,12,0.0000
flat30-60,flat30-25.cnf,7.4545,3.5000,12,0.0000
flat30-60,flat30-26.cnf,2.5882,3.3704,12,0.0000
flat30-60,flat30-27.cnf,8.3,3.6400,12,0.0000
flat30-60,flat30-28.cnf,3.0625,3.2500,12,0.0000
flat30-60,flat30-29.cnf,7.9333,3.6400,12,0.0000
flat30-60,flat30-3.cnf,4.7692,3.2500,12,0.0000
flat30-60,flat30-30.cnf,3.5455,3.2500,12,0.0000
flat30-60,flat30-31.cnf,5.1538,3.1379,12,0.0000
flat30-60,flat30-32.cnf,8.6364,3.6400,12,0.0000
flat30-60,flat30-33.cnf,9.5,3.2500,12,0.0000
flat30-60,flat30-34.cnf,7.4,3.1379,12,0.0000
flat30-60,flat30-35.cnf,5.2857,3.2500,12,0.0000
flat30-60,flat30-36.cnf,6.0625,3.2500,12,0.0000
flat30-60,flat30-37.cnf,3.8182,3.2500,12,0.0000
flat30-60,flat30-38.cnf,4.5,3.1379,12,0.0000
flat30-60,flat30-39.cnf,3.8333,3.3704,12,0.0000
flat30-60,flat30-4.cnf,5.1667,3.6400,12,0.0000
flat30-60,flat30-40.cnf,4.6,3.5000,12,0.0000
flat30-60,flat30-41.cnf,5.4286,3.5000,12,0.0000
flat30-60,flat30-42.cnf,3.7,3.1379,12,0.0000
flat30-60,flat30-43.cnf,11.8889,3.1379,12,0.0000
flat30-60,flat30-44.cnf,7.1667,3.2500,12,0.0000
flat50-115,flat50-1.cnf,13.0952,4.0811,12,0.0000
flat50-115,flat50-10.cnf,12.0769,3.9737,12,0.0000
flat50-115,flat50-100.cnf,11.6667,3.7750,12,0.0000
flat50-115,flat50-1000.cnf,8.0,3.7750,12,0.0000
flat50-115,flat50-101.cnf,6.3529,3.5116,12,0.0000
flat50-115,flat50-102.cnf,14.8947,3.7750,12,0.0000
flat50-115,flat50-103.cnf,8.3,3.6829,12,0.0000
flat50-115,flat50-104.cnf,15.5714,3.8718,12,0.0000
flat50-115,flat50-105.cnf,15.8235,3.8718,12,0.0000
flat50-115,flat50-106.cnf,6.5625,3.6829,12,0.0000
flat50-115,flat50-107.cnf,12.2778,3.5952,12,0.0000
flat50-115,flat50-108.cnf,7.875,3.5952,12,0.0000
flat50-115,flat50-109.cnf,15.5,3.4318,12,0.0000
flat50-115,flat50-11.cnf,8.8333,3.4318,12,0.0000
flat50-115,flat50-110.cnf,9.1,3.5952,12,0.0000
flat50-115,flat50-111.cnf,13.4375,3.5952,12,0.0000
flat50-115,flat50-112.cnf,9.0667,3.4318,12,0.0000
flat50-115,flat50-113.cnf,11.6364,3.9737,12,0.0000
flat50-115,flat50-114.cnf,12.3333,3.5952,12,0.0000
flat50-115,flat50-115.cnf,7.8462,3.5952,12,0.0000
flat50-115,flat50-116.cnf,6.2143,3.6829,12,0.0000
flat50-115,flat50-117.cnf,9.9091,3.5952,12,0.0000
flat50-115,flat50-118.cnf,16.6842,3.6829,12,0.0000
flat50-115,flat50-119.cnf,7.5625,4.0811,12,0.0000
flat50-115,flat50-12.cnf,7.6471,3.7750,12,0.0000
flat50-115,flat50-120.cnf,17.3571,3.7750,12,0.0000
flat50-115,flat50-121.cnf,6.9091,3.6829,12,0.0000
